,RAdeg,DEdeg,PosErr,ID_Flag,GLON,GLAT,Porb,Ppulse,Gaia_DR3_ID,Gmag,e_Gmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,N_H,Min_Soft_Flux,Max_Soft_Flux,Soft_Xray_Var,Min_Hard_Flux,Max_Hard_Flux,Hard_Xray_Var,Mean_Mass,Low_Mass,High_Mass,Mean_Dist,Low_Dist,High_Dist,Teff,Lopt
RAdeg,1.0,-0.059027824172043476,-0.005221544423052885,0.17523428492909507,-0.3037568705085985,0.16872693148651127,-0.034444017024479655,0.06910625826129956,0.2453707376779597,0.36174123112812717,0.13946544871236738,0.290222593935795,-0.0351628494456386,0.32891624240635525,-0.029044248678625754,0.28477051840569434,0.023548500759690384,0.2540927394414556,0.02569802379789431,0.18116352675768557,-0.1183347669201413,0.1708542923420803,-0.08499909558037975,0.12333217442472866,0.07373663400178036,0.07911343088129048,0.06163221874880399,0.06849498396713284,0.06941287167267957,-0.24736272914800242,0.31850722293151457,0.2950656654696203,0.29831713509619506,0.19368247394173138,0.09345268407855199,0.24923309472268185,-0.3320858685205357,-0.32569359378186014
DEdeg,-0.059027824172043476,1.0,-0.09380021059173325,-0.1241212200564359,-0.6431757835283215,0.1646445784350113,0.0639834196038593,0.11115422077280712,-0.931101443319774,-0.0205319615577159,0.004475682952915709,0.052659948578538764,-0.13011166108490657,-0.11730383398549273,-0.11653739372772318,-0.09114539110952173,-0.0032037987307360566,-0.07618146926120163,-0.017251483083921618,0.04723325290302301,0.01713301146551915,0.0316522820428013,0.01954855206033922,-0.21445810951371702,0.1015152609777035,0.10876320114738411,-0.039806944857584396,0.13121981649820472,0.12436469844239045,-0.25216546395774586,0.6254260256159819,0.6730767960059173,0.6688019706019537,-0.013121263364758846,0.059877981212707265,-0.04489561465144402,0.1784007329235609,0.055120671726964374
PosErr,-0.005221544423052885,-0.09380021059173325,1.0,0.21218729485675897,0.08079273405312955,0.018630138339632587,-0.040237528591906414,0.1538868885444532,-0.01232874023060333,0.1896893773412314,0.46189309556293096,0.060490304982983335,0.11382262527670958,0.3872738870206187,-0.020952817718282654,0.35166122895023466,0.10993389101011743,0.3192791389819916,0.09555633962181172,0.32865409532462747,-0.1065371077434196,0.3163117813364528,-0.01818149833136562,0.3948846502422217,-0.029720646901918495,-0.03050642992545726,0.1417571544058774,-0.05195177712823365,-0.050124345739971876,-0.06832408256320305,-0.005406979096181352,-0.19936700588558084,-0.18012242272712856,0.18815303328711974,0.5051859923900032,0.36180670134988735,-0.3888504359091313,-0.3600471496576792
ID_Flag,0.17523428492909507,-0.1241212200564359,0.21218729485675897,1.0,-0.050077095006770565,0.06326012529580058,-0.052384520948540306,0.09358904244042274,0.1719367529640504,0.03719304126393878,-0.016930324981170284,0.10652820392878466,0.34181403670576316,0.3556693507416811,-0.02556343906447159,0.33581508429363854,0.06340824040657027,0.3203740032472386,0.047653853763692494,0.3847940058932978,-0.11048795242680416,0.3738531909669317,-0.01969751930109154,0.4615025587717946,-0.04356600575186653,-0.049919265982304804,0.1721263824426662,-0.08410931384937244,-0.08729310112390443,-0.05723082990349603,0.008016296035251202,,,0.363859347450172,0.419103619093282,0.29607945630166804,-0.08535569062019004,-0.14657471505110142
GLON,-0.3037568705085985,-0.6431757835283215,0.08079273405312955,-0.050077095006770565,1.0,-0.11372993698210657,-0.05628146270099361,-0.10653502861990807,0.5798478683057491,-0.1837686513281516,-0.22429904676691748,-0.19693303395867395,0.14566625397813238,-0.044678521848646624,0.08383478550850681,-0.05519088662345516,-0.08394287512345124,-0.04901504258137409,-0.01990060110236845,-0.14359563017389324,0.05826774808766191,-0.1279116768807327,0.05062053682263862,0.27293045526860127,-0.0698808037832675,-0.07252633213968651,0.025737252651591186,-0.0363633830080998,-0.029661211897676728,0.14247400196181068,-0.33056354946864835,-0.33764434603478205,-0.33101248488862006,-0.0591719257625217,-0.09504356903452044,-0.08185923426649706,0.008636686090283629,0.18750277195266324
GLAT,0.16872693148651127,0.1646445784350113,0.018630138339632587,0.06326012529580058,-0.11372993698210657,1.0,-0.03553147312503877,0.05084087842194091,-0.02415994576521333,0.20376367259149414,0.07011599671816598,0.16178638646490384,0.17125892271254636,0.15374278209109832,-0.0185986353395368,0.13998635301246862,0.02983317556328429,0.12770700844222632,0.024717877623460227,0.21147512835232984,-0.24378728921059464,0.2056925475615146,-0.26988554132116377,0.10420286364942896,0.11081438709120556,0.11867267562802673,0.019820037821131217,0.1933760906909349,0.194772619172048,0.25922990440196675,0.44179223575691234,0.31196147708583505,0.30587407637394803,0.17286017691020095,0.16142085185679125,0.18751096258364194,-0.0879263433285739,0.34588704947792753
Porb,-0.034444017024479655,0.0639834196038593,-0.040237528591906414,-0.052384520948540306,-0.05628146270099361,-0.03553147312503877,1.0,0.47756298161191796,-0.0804409590699538,-0.22298738972075324,-0.11167205552947451,-0.19919003835516463,-0.12205864769751186,-0.262331219036137,0.0740954774601766,-0.27052504007073497,0.45466372193004334,-0.2789286987968429,0.46283907320653245,-0.16978016830844214,0.16045404090894883,-0.20031830745832047,0.07905927209551178,-0.16489385850444685,-0.047053573328643225,-0.05497076544196302,-0.03679847692035194,-0.07099582273979603,-0.07035367077363733,0.2971096204696439,-0.10288777242217552,-0.08576504701905957,-0.08152468569698686,-0.11951417614314852,-0.06312661377125618,-0.1287797746196601,0.15936723047332108,-0.27765515212549013
Ppulse,0.06910625826129956,0.11115422077280712,0.1538868885444532,0.09358904244042274,-0.10653502861990807,0.05084087842194091,0.47756298161191796,1.0,-0.11585103110472825,-0.2854639508161141,-0.0773700288347277,-0.3271717085755086,-0.1276172023313429,-0.46309979479603064,0.061661325700522365,-0.5045511542781722,0.7717285445719092,-0.5186102158374921,0.8286743282446349,-0.18189976576776076,-0.08119196552479063,-0.150801971430903,-0.06688085416398792,-0.026108429242235248,-0.05001901793141726,-0.08383598898515142,-0.05708083191913742,-0.034865482932446235,-0.04158775889609845,-0.08727439099002711,-0.45790155414848344,-0.5019842939583804,-0.2701814599558357,-0.1811529105960451,-0.16087874229335217,-0.18490536760848805,-0.05112081311643789,0.03686466163920867
Gaia_DR3_ID,0.2453707376779597,-0.931101443319774,-0.01232874023060333,0.1719367529640504,0.5798478683057491,-0.02415994576521333,-0.0804409590699538,-0.11585103110472825,1.0,0.12615272477788117,0.021279768518220107,0.02591541583600974,0.07313199462720849,0.10696180358777116,0.10229366698786106,0.08637318750906452,0.013345897349781102,0.07725940456441209,0.0020333437278556173,-0.08053049775598956,-0.06282171865023775,-0.06962139853808753,-0.11524841094773676,0.28817945780471965,-0.09558821391823419,-0.09396355274758977,-0.041527608706185166,-0.07348271541514786,-0.06843700312584493,0.26656531721788207,-0.7943853559305194,-0.7962922280642035,-0.7970383885696413,-0.031017240813320426,-0.10756856819542603,0.04895096397083396,-0.22836872021223276,0.04155256732266361
Gmag,0.36174123112812717,-0.0205319615577159,0.1896893773412314,0.03719304126393878,-0.1837686513281516,0.20376367259149414,-0.22298738972075324,-0.2854639508161141,0.12615272477788117,1.0,0.32626320035142614,0.970728165376955,0.5865450453069282,0.8100703470369818,0.08503767208422669,0.7234033399644929,-0.12294532253011489,0.6563537802730186,-0.13228869202466811,0.7094787856452265,-0.4450849985905729,0.7135134499147052,-0.3517465786093532,0.17304577016764633,-0.111346424708953,-0.11330393982180449,0.1687710405062962,-0.2670611595387892,-0.26647655478255305,-0.22662568650167594,-0.4392630934719262,-0.331772221285598,-0.3288656865116566,0.3741582751262945,0.12535402644757057,0.4793198749468946,-0.5311085287937015,-0.4180937964632024
