# BINNING-MINI: MIN=-0.1 BINWIDTH=0.2
# BINNING-VROTINI: MIN=-5 BINWIDTH=10
# GP-LABEL-MINI: M_{ini} / M_{/CMSY10 \014}
# GP-LABEL-VROTINI: v_{ini} / km s^{-1}
# 1: MINI / Msun	2: VROTINI / km/s	3: probability
5	0	5.53340e-04
5	10	9.20226e-04
5	20	9.18223e-04
5	30	9.16223e-04
5	40	9.14222e-04
5	50	9.12221e-04
5	60	9.10463e-04
5	70	9.09893e-04
5	80	9.09665e-04
5	90	9.09061e-04
5	100	9.08806e-04
5	110	9.08173e-04
5	120	9.07820e-04
5	130	9.07309e-04
5	140	9.06760e-04
5	150	9.06528e-04
5	160	9.06257e-04
5	170	9.05942e-04
5	180	9.05857e-04
5	190	9.05201e-04
5	200	9.05169e-04
5	210	9.05079e-04
5	220	9.04900e-04
5	230	9.05340e-04
5	240	9.05008e-04
5	250	9.04682e-04
5	260	9.04591e-04
5	270	9.04374e-04
5	280	9.04709e-04
5	290	9.04901e-04
5	300	9.05792e-04
5	310	9.07124e-04
5	320	9.08617e-04
5	330	9.10599e-04
5	340	9.12713e-04
5	350	9.15287e-04
5	360	9.17582e-04
5	370	9.20380e-04
5	380	9.23251e-04
5	390	9.26870e-04
5	400	9.30517e-04
5	410	9.34875e-04
5	420	9.38692e-04
5	430	9.42417e-04
5	440	9.46796e-04
5	450	9.51480e-04
5	460	9.57123e-04
5	470	9.62666e-04
5	480	9.69158e-04
5	490	9.75870e-04
5	500	9.83161e-04
5	510	9.91024e-04
5	520	9.99114e-04
5	530	9.86988e-04
5	540	9.71168e-04
5	550	4.77763e-04

5.2	0	5.16584e-04
5.2	10	8.59196e-04
5.2	20	8.57419e-04
5.2	30	8.55646e-04
5.2	40	8.53872e-04
5.2	50	8.52094e-04
5.2	60	8.50554e-04
5.2	70	8.50435e-04
5.2	80	8.49953e-04
5.2	90	8.49455e-04
5.2	100	8.49297e-04
5.2	110	8.48767e-04
5.2	120	8.48515e-04
5.2	130	8.48102e-04
5.2	140	8.48008e-04
5.2	150	8.47526e-04
5.2	160	8.47361e-04
