# BINNING-AGE: MIN=-0.01 BINWIDTH=0.02
# GP-LABEL-AGE: Age / Myr
# 1: AGE / Myr	2: probability
0	7.43451e-04
0.02	7.43389e-04
0.04	7.43458e-04
0.06	7.43547e-04
0.08	7.43651e-04
0.1	7.43738e-04
0.12	7.43829e-04
0.14	7.43919e-04
0.16	7.44006e-04
0.18	7.44089e-04
0.2	7.44169e-04
0.22	7.44254e-04
0.24	7.44339e-04
0.26	7.44415e-04
0.28	7.44487e-04
0.3	7.44554e-04
0.32	7.44618e-04
0.34	7.44683e-04
0.36	7.44757e-04
0.38	7.44820e-04
0.4	7.44890e-04
0.42	7.44955e-04
0.44	7.45023e-04
0.46	7.45091e-04
0.48	7.45157e-04
0.5	7.45216e-04
0.52	7.45289e-04
0.54	7.45350e-04
0.56	7.45415e-04
0.58	7.45488e-04
0.6	7.45548e-04
0.62	7.45621e-04
0.64	7.45687e-04
0.66	7.45749e-04
0.68	7.45820e-04
0.7	7.45882e-04
0.72	7.45947e-04
0.74	7.46018e-04
0.76	7.46083e-04
0.78	7.46144e-04
0.8	7.46209e-04
0.82	7.46274e-04
0.84	7.46328e-04
0.86	7.46398e-04
0.88	7.46457e-04
0.9	7.46514e-04
0.92	7.46583e-04
0.94	7.46644e-04
0.96	7.46702e-04
0.98	7.46760e-04
1	7.46821e-04
1.02	7.46895e-04
1.04	7.46945e-04
1.06	7.47013e-04
1.08	7.47057e-04
1.1	7.47131e-04
1.12	7.47197e-04
1.14	7.47246e-04
1.16	7.47305e-04
1.18	7.47368e-04
1.2	7.47424e-04
1.22	7.47496e-04
1.24	7.47557e-04
1.26	7.47606e-04
1.28	7.47655e-04
1.3	7.47725e-04
1.32	7.47789e-04
1.34	7.47844e-04
1.36	7.47893e-04
1.38	7.47946e-04
1.4	7.48015e-04
1.42	7.48079e-04
1.44	7.48137e-04
1.46	7.48191e-04
1.48	7.48252e-04
1.5	7.48298e-04
1.52	7.48387e-04
1.54	7.48452e-04
1.56	7.48506e-04
1.58	7.48586e-04
1.6	7.48647e-04
1.62	7.48713e-04
1.64	7.48787e-04
1.66	7.48868e-04
1.68	7.48955e-04
1.7	7.49037e-04
1.72	7.49112e-04
1.74	7.49192e-04
1.76	7.49290e-04
1.78	7.49394e-04
1.8	7.49489e-04
1.82	7.49585e-04
1.84	7.49691e-04
1.86	7.49803e-04
1.88	7.49897e-04
1.9	7.49867e-04
1.92	7.49804e-04
1.94	7.49789e-04
1.96	7.49766e-04
1.98	7.49734e-04
2	7.49687e-04
2.02	7.49640e-04
2.04	7.49574e-04
2.06	7.49473e-04
2.08	7.49365e-04
2.1	7.49282e-04
2.12	7.49191e-04
2.14	7.49111e-04
2.16	7.49024e-04
2.18	7.48952e-04
2.2	7.48853e-04
2.22	7.48755e-04
2.24	7.48634e-04
2.26	7.48531e-04
2.28	7.48414e-04
2.3	7.48298e-04
2.32	7.48184e-04
2.34	7.48067e-04
2.36	7.47959e-04
2.38	7.47820e-04
2.4	7.47693e-04
2.42	7.47530e-04
2.44	7.47331e-04
2.46	7.47117e-04
2.48	7.46896e-04
2.5	7.46671e-04
2.52	7.46433e-04
2.54	7.46186e-04
2.56	7.45932e-04
2.58	7.45660e-04
2.6	7.45379e-04
2.62	7.45108e-04
2.64	7.44801e-04
2.66	7.44498e-04
2.68	7.44257e-04
2.7	7.44016e-04
2.72	7.43758e-04
2.74	7.43528e-04
2.76	7.43309e-04
2.78	7.43062e-04
2.8	7.42806e-04
2.82	7.42546e-04
2.84	7.42312e-04
2.86	7.42062e-04
2.88	7.41781e-04
2.9	7.41485e-04
2.92	7.41212e-04
2.94	7.40958e-04
2.96	7.40683e-04
2.98	7.40430e-04
3	7.40238e-04
3.02	7.40043e-04
3.04	7.39837e-04
3.06	7.39627e-04
3.08	7.39428e-04
3.1	7.39224e-04
3.12	7.39019e-04
3.14	7.38727e-04
3.16	7.38392e-04
3.18	7.38032e-04
3.2	7.37684e-04
3.22	7.37303e-04
3.24	7.36928e-04
3.26	7.36551e-04
3.28	7.36162e-04
3.3	7.35782e-04
3.32	7.35397e-04
3.34	7.34977e-04
3.36	7.34547e-04
3.38	7.34131e-04
3.4	7.33742e-04
3.42	7.33348e-04
3.44	7.32938e-04
3.46	7.32517e-04
3.48	7.32100e-04
3.5	7.31678e-04
3.52	7.31261e-04
3.54	7.30826e-04
3.56	7.30354e-04
3.58	7.29920e-04
3.6	7.29425e-04
3.62	7.28949e-04
3.64	7.28431e-04
3.66	7.27949e-04
3.68	7.27450e-04
3.7	7.26916e-04
3.72	7.26389e-04
3.74	7.25885e-04
3.76	7.25381e-04
3.78	7.24899e-04
3.8	7.24441e-04
3.82	7.23951e-04
3.84	7.23462e-04
3.86	7.22999e-04
3.88	7.22501e-04
3.9	7.22034e-04
3.92	7.21564e-04
3.94	7.21075e-04
3.96	7.20662e-04
3.98	7.20171e-04
4	7.19681e-04
4.02	7.19177e-04
4.04	7.18764e-04
4.06	7.18275e-04
4.08	7.17755e-04
4.1	7.17241e-04
4.12	7.16776e-04
4.14	7.16218e-04
4.16	7.15712e-04
4.18	7.15224e-04
4.2	7.14655e-04
4.22	7.14179e-04
4.24	7.13586e-04
4.26	7.13116e-04
4.28	7.12518e-04
4.3	7.11998e-04
