# BINNING-C: MIN=0 BINWIDTH=0.0128026738
# GP-LABEL-C: log( C / H ) + 12
# 1: C / dex	2: probability
6.6637917129	9.97393e-09
6.6765943867	1.02505e-07
6.6893970605	1.26676e-05
6.7021997343	4.67665e-05
6.7150024081	5.33521e-05
6.7278050819	6.85999e-05
6.7406077557	1.60265e-04
6.7534104295	2.42906e-04
6.7662131033	4.10265e-04
6.7790157771	6.86213e-04
6.7918184509	1.08706e-03
6.8046211247	1.55819e-03
6.8174237985	1.94110e-03
6.8302264723	2.20059e-03
6.8430291461	2.49463e-03
6.8558318199	2.64072e-03
6.8686344937	2.55308e-03
6.8814371675	2.58866e-03
6.8942398413	2.59768e-03
6.9070425151	2.60747e-03
6.9198451889	2.74315e-03
6.9326478627	2.73653e-03
6.9454505365	2.72811e-03
6.9582532103	2.90415e-03
6.9710558841	2.93458e-03
6.9838585579	2.96550e-03
6.9966612317	3.14529e-03
7.0094639055	3.18950e-03
7.0222665793	3.37580e-03
7.0350692531	3.51312e-03
7.0478719269	3.52971e-03
7.0606746007	3.87326e-03
7.0734772745	3.90231e-03
7.0862799483	4.08036e-03
7.0990826221	4.24696e-03
7.1118852959	4.38070e-03
7.1246879697	4.53612e-03
7.1374906435	4.72589e-03
7.1502933173	4.85755e-03
7.1630959911	5.02363e-03
7.1758986649	5.17625e-03
7.1887013387	5.29139e-03
7.2015040125	5.39062e-03
7.2143066863	5.52235e-03
7.2271093601	5.63214e-03
7.2399120339	5.77987e-03
7.2527147077	5.85266e-03
7.2655173815	6.02135e-03
7.2783200553	6.22862e-03
7.2911227291	6.41295e-03
7.3039254029	6.56057e-03
7.3167280767	6.80261e-03
7.3295307505	7.13718e-03
7.3423334243	7.34578e-03
7.3551360981	7.61727e-03
7.3679387719	7.91083e-03
7.3807414457	8.11180e-03
7.3935441195	8.50428e-03
7.4063467933	8.68176e-03
7.4191494671	8.91473e-03
7.4319521409	9.25391e-03
7.4447548147	9.40691e-03
7.4575574885	9.64792e-03
7.4703601623	1.00077e-02
7.4831628361	1.02126e-02
7.4959655099	1.05567e-02
7.5087681837	1.08771e-02
7.5215708575	1.12277e-02
7.5343735313	1.15650e-02
7.5471762051	1.19028e-02
7.5599788789	1.23307e-02
7.5727815527	1.27403e-02
7.5855842265	1.32899e-02
7.5983869003	1.38553e-02
7.6111895741	1.44915e-02
7.6239922479	1.52364e-02
7.6367949217	1.60535e-02
7.6495975955	1.70886e-02
7.6624002693	1.84793e-02
7.6752029431	1.99376e-02
7.6880056169	2.21435e-02
7.7008082907	2.54014e-02
7.7136109645	3.06296e-02
7.7264136383	4.01056e-02
7.7392163121	7.27065e-02
7.7520189859	3.18559e-01
7.7648216597	1.51651e-06
7.7776243335	1.42963e-06
7.7904270073	1.46532e-06
7.8032296811	1.42632e-06
7.8160323549	1.41626e-06
7.8288350287	1.37528e-06
7.8416377025	1.38758e-06
7.8544403763	1.29445e-06
7.8672430501	1.31892e-06
7.8800457239	1.30401e-06
7.8928483977	1.27123e-06
7.9056510715	1.22537e-06
7.9184537453	1.22113e-06
7.9312564191	1.17320e-06
7.9440590929	1.20591e-06
7.9568617667	1.18570e-06
7.9696644405	1.16119e-06
7.9824671143	1.12440e-06
7.9952697881	1.12496e-06
8.0080724619	1.08714e-06
