# BINNING-HE: MIN=0 BINWIDTH=0.0139374332
# GP-LABEL-HE: log( He / H ) + 12
# 1: HE / dex	2: probability
10.9339163454	5.81956e-01
10.9478537786	1.99728e-01
10.9617912118	7.50804e-02
10.975728645	4.45284e-02
10.9896660782	2.75831e-02
11.0036035114	2.25187e-02
11.0175409446	1.76343e-02
11.0314783778	5.41550e-03
11.045415811	4.00393e-03
11.0593532442	2.74583e-03
11.0732906774	1.77298e-03
11.0872281106	1.28255e-03
11.1011655438	1.16746e-03
11.115102977	1.14660e-03
11.1290404102	1.00689e-03
11.1429778434	8.45790e-04
11.1569152766	7.49281e-04
11.1708527098	5.89227e-04
11.184790143	5.40970e-04
11.1987275762	5.06632e-04
11.2126650094	4.43891e-04
11.2266024426	4.40333e-04
11.2405398758	4.09752e-04
11.254477309	3.72216e-04
11.2684147422	3.53401e-04
11.2823521754	3.31572e-04
11.2962896086	3.06375e-04
11.3102270418	3.18903e-04
11.324164475	2.74093e-04
11.3381019082	2.54498e-04
11.3520393414	2.61193e-04
11.3659767746	2.35319e-04
11.3799142078	2.33402e-04
11.393851641	2.15784e-04
11.4077890742	2.12540e-04
11.4217265074	2.04457e-04
11.4356639406	1.90560e-04
11.4496013738	1.88679e-04
11.463538807	1.82111e-04
11.4774762402	1.72514e-04
11.4914136734	1.73315e-04
11.5053511066	1.54600e-04
11.5192885398	1.55739e-04
11.533225973	1.48315e-04
11.5471634062	1.34460e-04
11.5611008394	1.36082e-04
11.5750382726	1.24694e-04
11.5889757058	1.23172e-04
11.602913139	1.17671e-04
11.6168505722	1.08913e-04
11.6307880054	1.07624e-04
11.6447254386	1.01115e-04
11.6586628718	9.53172e-05
11.672600305	9.45739e-05
11.6865377382	8.78920e-05
11.7004751714	9.18967e-05
11.7144126046	9.07331e-05
11.7283500378	8.48807e-05
11.742287471	8.33738e-05
11.7562249042	7.64961e-05
11.7701623374	7.40207e-05
11.7840997706	7.06744e-05
11.7980372038	6.61419e-05
11.811974637	6.41483e-05
11.8259120702	6.15867e-05
11.8398495034	6.16074e-05
11.8537869366	6.17793e-05
