# BINNING-LOGG: MIN=-1 BINWIDTH=0.0289133690
# GP-LABEL-LOGG: log( g / cgs )
# 1: LOGG / log(cm/s^2)	2: probability
-0.5229294115	9.75770e-08
-0.4940160425	4.03207e-07
-0.4651026735	6.12787e-07
-0.4361893045	6.91083e-07
-0.4072759355	8.06687e-07
-0.3783625665	9.44924e-07
-0.3494491975	9.16583e-07
-0.3205358285	8.71917e-07
-0.2916224595	1.06174e-06
-0.2627090905	9.54242e-07
-0.2337957215	1.07446e-06
-0.2048823525	1.05258e-06
-0.1759689835	1.01140e-06
-0.1470556145	1.06488e-06
-0.1181422455	1.00466e-06
-0.0892288765	1.12746e-06
-0.0603155074999999	1.12715e-06
-0.0314021385	1.12604e-06
-0.00248876949999999	1.11181e-06
0.0264245995000001	1.16038e-06
0.0553379684999999	1.18479e-06
0.0842513375	1.10589e-06
0.1131647065	1.20335e-06
0.1420780755	1.13340e-06
0.1709914445	1.12265e-06
0.1999048135	1.28998e-06
0.2288181825	1.18658e-06
0.2577315515	1.24185e-06
0.2866449205	1.23744e-06
0.3155582895	1.30229e-06
0.3444716585	1.27302e-06
0.3733850275	1.27431e-06
0.4022983965	1.31039e-06
0.4312117655	1.33541e-06
0.4601251345	1.40811e-06
0.4890385035	1.31751e-06
0.5179518725	1.39341e-06
0.5468652415	1.40562e-06
0.5757786105	1.55830e-06
0.6046919795	1.43883e-06
0.6336053485	1.56084e-06
0.6625187175	1.51639e-06
0.6914320865	1.60573e-06
0.7203454555	1.60607e-06
0.7492588245	1.50205e-06
0.7781721935	1.68230e-06
0.8070855625	1.58004e-06
0.8359989315	1.64130e-06
0.8649123005	1.70876e-06
0.8938256695	1.78691e-06
0.9227390385	1.79846e-06
0.9516524075	1.87000e-06
0.9805657765	2.03199e-06
1.0094791455	2.04732e-06
1.0383925145	2.06514e-06
1.0673058835	2.17894e-06
1.0962192525	2.45093e-06
1.1251326215	2.82949e-06
1.1540459905	2.77175e-06
1.1829593595	2.84936e-06
1.2118727285	2.90322e-06
1.2407860975	3.25329e-06
1.2696994665	3.46076e-06
1.2986128355	3.81304e-06
1.3275262045	3.78933e-06
1.3564395735	3.80759e-06
1.3853529425	3.58758e-06
1.4142663115	3.85563e-06
1.4431796805	3.75858e-06
1.4720930495	4.13798e-06
1.5010064185	4.17209e-06
1.5299197875	4.18542e-06
1.5588331565	4.38228e-06
1.5877465255	4.98778e-06
1.6166598945	4.79559e-06
1.6455732635	4.92279e-06
1.6744866325	4.94603e-06
1.7034000015	5.34302e-06
1.7323133705	5.65533e-06
1.7612267395	5.51654e-06
1.7901401085	6.15381e-06
1.8190534775	6.15003e-06
1.8479668465	6.55422e-06
1.8768802155	7.10167e-06
1.9057935845	7.31793e-06
1.9347069535	7.55677e-06
1.9636203225	8.04945e-06
1.9925336915	8.37547e-06
2.0214470605	9.25602e-06
2.0503604295	8.89611e-06
2.0792737985	9.83338e-06
2.1081871675	1.01978e-05
2.1371005365	1.04983e-05
2.1660139055	1.09759e-05
2.1949272745	1.18266e-05
2.2238406435	1.21098e-05
2.2527540125	1.26913e-05
2.2816673815	1.39412e-05
2.3105807505	1.50086e-05
2.3394941195	1.62979e-05
2.3684074885	1.71075e-05
2.3973208575	1.92928e-05
2.4262342265	2.01017e-05
2.4551475955	2.31116e-05
2.4840609645	2.52849e-05
2.5129743335	2.92523e-05
2.5418877025	3.46296e-05
2.5708010715	4.12260e-05
2.5997144405	4.55782e-05
2.6286278095	4.47597e-05
2.6575411785	4.62132e-05
2.6864545475	4.70507e-05
2.7153679165	5.28108e-05
2.7442812855	5.85352e-05
2.7731946545	6.80602e-05
2.8021080235	8.15774e-05
2.8310213925	9.57058e-05
2.8599347615	1.14090e-04
2.8888481305	1.37425e-04
2.9177614995	1.64290e-04
2.9466748685	2.04878e-04
2.9755882375	2.55678e-04
3.0045016065	3.35632e-04
3.0334149755	4.57042e-04
3.0623283445	6.36022e-04
3.0912417135	9.11910e-04
3.1201550825	1.25452e-03
3.1490684515	1.78654e-03
3.1779818205	2.82771e-03
3.2068951895	5.16184e-03
3.2358085585	6.87826e-03
3.2647219275	7.03946e-03
3.2936352965	7.63963e-03
3.3225486655	8.34368e-03
3.3514620345	9.21981e-03
3.3803754035	1.04149e-02
3.4092887725	1.19696e-02
3.4382021415	1.31719e-02
3.4671155105	1.28941e-02
3.4960288795	1.30988e-02
3.5249422485	1.35386e-02
3.5538556175	1.40996e-02
3.5827689865	1.46610e-02
3.6116823555	1.53701e-02
3.6405957245	1.61143e-02
3.6695090935	1.69647e-02
3.6984224625	1.78365e-02
3.7273358315	1.87972e-02
3.7562492005	1.98430e-02
3.7851625695	2.08790e-02
3.8140759385	2.20512e-02
3.8429893075	2.33256e-02
3.8719026765	2.46962e-02
3.9008160455	2.61983e-02
3.9297294145	2.77648e-02
3.9586427835	2.94998e-02
3.9875561525	3.15300e-02
4.0164695215	3.34935e-02
4.0453828905	3.57848e-02
4.0742962595	3.82798e-02
4.1032096285	4.11912e-02
4.1321229975	4.49644e-02
4.1610363665	5.64346e-02
4.1899497355	6.34249e-02
4.2188631045	5.83330e-02
4.2477764735	4.71866e-02
4.2766898425	3.83084e-02
4.3056032115	3.05557e-02
4.3345165805	2.21626e-02
4.3634299495	1.34842e-02
4.3923433185	6.00423e-03
4.4212566875	1.18004e-03
4.4501700565	1.58683e-06
4.4790834255	1.34894e-06
4.5079967945	1.08152e-06
4.5369101635	9.41874e-07
4.5658235325	7.82038e-07
4.5947369015	5.19249e-07
4.6236502705	4.67661e-07
4.6525636395	1.91653e-07
