# BINNING-LOGL: MIN=-1 BINWIDTH=0.0236417112
# GP-LABEL-LOGL: log( L / L_{/CMSY10 \014})
# 1: LOGL / log(Lsun)	2: probability
2.723569514	9.18776e-05
2.7472112252	9.86625e-04
2.7708529364	1.94961e-03
2.7944946476	3.48444e-03
2.8181363588	4.31802e-03
2.84177807	5.66793e-03
2.8654197812	6.77248e-03
2.8890614924	7.69954e-03
2.9127032036	9.05029e-03
2.9363449148	9.70767e-03
2.959986626	1.11261e-02
2.9836283372	1.16856e-02
3.0072700484	1.30309e-02
3.0309117596	1.36777e-02
3.0545534708	1.48512e-02
3.078195182	1.54606e-02
3.1018368932	1.65643e-02
3.1254786044	1.70723e-02
3.1491203156	1.82250e-02
3.1727620268	1.85207e-02
3.196403738	1.92983e-02
3.2200454492	1.80668e-02
3.2436871604	1.84495e-02
3.2673288716	1.82748e-02
3.2909705828	1.74707e-02
3.314612294	1.81040e-02
3.3382540052	1.70977e-02
3.3618957164	1.73449e-02
3.3855374276	1.71552e-02
3.4091791388	1.65805e-02
3.43282085	1.69203e-02
3.4564625612	1.63576e-02
3.4801042724	1.63315e-02
3.5037459836	1.60844e-02
3.5273876948	1.59172e-02
3.551029406	1.55044e-02
3.5746711172	1.51999e-02
3.5983128284	1.50335e-02
3.6219545396	1.46773e-02
3.6455962508	1.44566e-02
3.669237962	1.41056e-02
3.6928796732	1.38741e-02
3.7165213844	1.35853e-02
3.7401630956	1.32665e-02
3.7638048068	1.30888e-02
3.787446518	1.26904e-02
3.8110882292	1.24967e-02
3.8347299404	1.21513e-02
3.8583716516	1.18510e-02
3.8820133628	1.16626e-02
3.905655074	1.13035e-02
3.9292967852	1.10850e-02
3.9529384964	1.07804e-02
3.9765802076	1.05205e-02
4.0002219188	1.02157e-02
4.02386363	9.97498e-03
4.0475053412	9.75853e-03
4.0711470524	9.45002e-03
4.0947887636	9.26079e-03
4.1184304748	8.97802e-03
4.142072186	8.71744e-03
4.1657138972	8.51862e-03
4.1893556084	8.24188e-03
4.2129973196	8.04468e-03
4.2366390308	7.78041e-03
4.260280742	7.57969e-03
4.2839224532	7.30891e-03
4.3075641644	7.08910e-03
4.3312058756	6.89296e-03
4.3548475868	6.65483e-03
4.378489298	6.47333e-03
4.4021310092	6.25399e-03
4.4257727204	6.05074e-03
4.4494144316	5.88466e-03
4.4730561428	5.66955e-03
4.496697854	5.49963e-03
4.5203395652	5.28377e-03
4.5439812764	5.11784e-03
4.5676229876	4.91254e-03
4.5912646988	4.73362e-03
4.61490641	4.58289e-03
4.6385481212	4.40143e-03
4.6621898324	4.25986e-03
4.6858315436	4.08779e-03
4.7094732548	3.94476e-03
4.733114966	3.81165e-03
4.7567566772	3.64353e-03
4.7803983884	3.51691e-03
4.8040400996	3.36011e-03
4.8276818108	3.23844e-03
4.851323522	3.08773e-03
4.8749652332	2.97026e-03
4.8986069444	2.86583e-03
4.9222486556	2.73989e-03
4.9458903668	2.64500e-03
4.969532078	2.53392e-03
4.9931737892	2.43400e-03
5.0168155004	2.34455e-03
5.0404572116	2.23924e-03
5.0640989228	2.15220e-03
5.087740634	2.05446e-03
5.1113823452	1.97317e-03
5.1350240564	1.87487e-03
5.1586657676	1.78638e-03
5.1823074788	1.71078e-03
5.20594919	1.62165e-03
5.2295909012	1.55495e-03
5.2532326124	1.47701e-03
5.2768743236	1.41042e-03
5.3005160348	1.34997e-03
5.324157746	1.27865e-03
5.3477994572	1.21882e-03
5.3714411684	1.15276e-03
5.3950828796	1.09842e-03
5.4187245908	1.03688e-03
