# BINNING-MACT: MIN=-0.1 BINWIDTH=0.2
# GP-LABEL-MACT: M_{act} / M_{/CMSY10 \014}
# 1: MACT / Msun	2: probability
4.8	8.95981e-05
5	5.11770e-02
5.2	4.86733e-02
5.4	4.55722e-02
5.6	4.28532e-02
5.8	4.05731e-02
6	3.88237e-02
6.2	3.65013e-02
6.4	3.43171e-02
6.6	3.22578e-02
6.8	3.02929e-02
7	2.84929e-02
7.2	2.68833e-02
7.4	2.53683e-02
7.6	2.39374e-02
7.8	2.24987e-02
8	2.09215e-02
8.2	1.97532e-02
8.4	1.86588e-02
8.6	1.76280e-02
8.8	1.66587e-02
9	1.57494e-02
9.2	1.49233e-02
9.4	1.41456e-02
9.6	1.34121e-02
9.8	1.27217e-02
10	1.20753e-02
10.2	1.14679e-02
10.4	1.08923e-02
10.6	1.03494e-02
10.8	9.83757e-03
11	9.35439e-03
11.2	8.89798e-03
11.4	8.46730e-03
11.6	8.05818e-03
11.8	7.67169e-03
12	7.31379e-03
12.2	6.97549e-03
12.4	6.65772e-03
12.6	6.35679e-03
12.8	6.06953e-03
13	5.80147e-03
13.2	5.55049e-03
13.4	5.31522e-03
13.6	5.09015e-03
13.8	4.87588e-03
14	4.67318e-03
14.2	4.47910e-03
14.4	4.29451e-03
14.6	4.12049e-03
14.8	3.95310e-03
15	3.80288e-03
15.2	3.65920e-03
15.4	3.52022e-03
15.6	3.39668e-03
15.8	3.27884e-03
16	3.20685e-03
16.2	3.11455e-03
16.4	2.98122e-03
16.6	2.84937e-03
16.8	2.71077e-03
17	2.61302e-03
17.2	2.51969e-03
17.4	2.43022e-03
17.6	2.34424e-03
17.8	2.26457e-03
18	2.18627e-03
18.2	2.11441e-03
18.4	2.04283e-03
18.6	1.97637e-03
18.8	1.91372e-03
19	1.85776e-03
19.2	1.79845e-03
19.4	1.74479e-03
19.6	1.69021e-03
19.8	1.64254e-03
20	1.59721e-03
20.2	1.55277e-03
20.4	1.50760e-03
20.6	1.45989e-03
20.8	1.41044e-03
21	1.36393e-03
21.2	1.31927e-03
21.4	1.27624e-03
21.6	1.23538e-03
21.8	1.19556e-03
22	1.15765e-03
22.2	1.11841e-03
22.4	1.07892e-03
22.6	1.04349e-03
22.8	1.01426e-03
23	9.86426e-04
23.2	9.59439e-04
23.4	9.32370e-04
23.6	9.06570e-04
23.8	8.81072e-04
24	8.57504e-04
24.2	8.33378e-04
24.4	8.10288e-04
24.6	7.90665e-04
24.8	7.70882e-04
25	7.51253e-04
25.2	7.31124e-04
25.4	7.12790e-04
25.6	6.93048e-04
25.8	6.75290e-04
26	6.56806e-04
26.2	6.39357e-04
26.4	6.22471e-04
26.6	6.06411e-04
26.8	5.90928e-04
27	5.76029e-04
27.2	5.60550e-04
27.4	5.46624e-04
27.6	5.33820e-04
27.8	5.20599e-04
28	5.07736e-04
28.2	4.95163e-04
28.4	4.83699e-04
28.6	4.71603e-04
28.8	4.61093e-04
29	4.50903e-04
29.2	4.40230e-04
29.4	4.30394e-04
29.6	4.20698e-04
29.8	4.11498e-04
30	4.01675e-04
30.2	3.92089e-04
30.4	3.82645e-04
30.6	3.73984e-04
30.8	3.65325e-04
31	3.56716e-04
31.2	3.48695e-04
31.4	3.40317e-04
31.6	3.32702e-04
31.8	3.25014e-04
32	3.17314e-04
32.2	3.10114e-04
32.4	3.02367e-04
32.6	2.95890e-04
32.8	2.88658e-04
33	2.81500e-04
33.2	2.75255e-04
33.4	2.68526e-04
33.6	2.63391e-04
33.8	2.58098e-04
34	2.52214e-04
34.2	2.47650e-04
34.4	2.42095e-04
34.6	2.37432e-04
34.8	2.32697e-04
35	2.28365e-04
35.2	2.23422e-04
35.4	2.18771e-04
35.6	2.14743e-04
35.8	2.10848e-04
36	2.06319e-04
36.2	2.02625e-04
36.4	1.98449e-04
36.6	1.95018e-04
36.8	1.91149e-04
37	1.87411e-04
37.2	1.83872e-04
37.4	1.80130e-04
37.6	1.76826e-04
37.8	1.73643e-04
38	1.70566e-04
38.2	1.67188e-04
38.4	1.64256e-04
38.6	1.61051e-04
38.8	1.58297e-04
39	1.55273e-04
39.2	1.52481e-04
39.4	1.49535e-04
39.6	1.46811e-04
39.8	1.43797e-04
40	1.41436e-04
40.2	1.38809e-04
40.4	1.36266e-04
40.6	1.33799e-04
40.8	1.31302e-04
41	1.29121e-04
41.2	1.26926e-04
41.4	1.24351e-04
41.6	1.22392e-04
41.8	1.20163e-04
42	1.18087e-04
42.2	1.16303e-04
42.4	1.13982e-04
42.6	1.12427e-04
42.8	1.10774e-04
43	1.09008e-04
43.2	1.07920e-04
43.4	1.05567e-04
43.6	1.03880e-04
43.8	1.02210e-04
44	1.00596e-04
44.2	9.89914e-05
44.4	9.71857e-05
44.6	9.57692e-05
44.8	9.40489e-05
45	9.23779e-05
45.2	9.14067e-05
45.4	8.95829e-05
45.6	8.84012e-05
45.8	8.68802e-05
46	8.52009e-05
46.2	8.41920e-05
46.4	8.26899e-05
46.6	8.16294e-05
46.8	8.03205e-05
47	7.87684e-05
47.2	7.77723e-05
47.4	7.63499e-05
47.6	7.54253e-05
47.8	7.44409e-05
48	7.30417e-05
48.2	7.19089e-05
48.4	7.08167e-05
48.6	6.97827e-05
48.8	6.88146e-05
49	6.76455e-05
49.2	6.69806e-05
49.4	6.54307e-05
49.6	6.48552e-05
49.8	6.37717e-05
50	6.30626e-05
50.2	6.17636e-05
50.4	6.11994e-05
50.6	6.00809e-05
50.8	5.93674e-05
51	5.84667e-05
51.2	5.75317e-05
51.4	5.68442e-05
51.6	5.59016e-05
51.8	5.53254e-05
52	5.43798e-05
52.2	5.36158e-05
52.4	5.28282e-05
52.6	5.21377e-05
52.8	5.14305e-05
53	5.08578e-05
53.2	4.98661e-05
53.4	4.92594e-05
53.6	4.85733e-05
53.8	4.78712e-05
54	4.71490e-05
54.2	4.67976e-05
54.4	4.58301e-05
54.6	4.53605e-05
54.8	4.47550e-05
55	4.40274e-05
55.2	4.36031e-05
55.4	4.28755e-05
55.6	4.23478e-05
55.8	4.19354e-05
56	4.10652e-05
56.2	4.08579e-05
56.4	4.00639e-05
56.6	3.95649e-05
56.8	3.91350e-05
57	3.85463e-05
57.2	3.81555e-05
57.4	3.74768e-05
57.6	3.71991e-05
57.8	3.65406e-05
58	3.61229e-05
58.2	3.57654e-05
58.4	3.51416e-05
58.6	3.47640e-05
58.8	3.42382e-05
59	3.40279e-05
59.2	3.34332e-05
59.4	3.29666e-05
59.6	3.25692e-05
59.8	3.22691e-05
60	3.18155e-05
60.2	3.13079e-05
60.4	3.11011e-05
60.6	3.06635e-05
60.8	3.01375e-05
61	2.99787e-05
61.2	2.94784e-05
61.4	2.90772e-05
61.6	2.88456e-05
61.8	2.83589e-05
62	2.82300e-05
62.2	2.76010e-05
62.4	2.73378e-05
62.6	2.71040e-05
62.8	2.67206e-05
63	2.64766e-05
63.2	2.60734e-05
63.4	2.56689e-05
63.6	2.54972e-05
63.8	2.51153e-05
64	2.48754e-05
64.2	2.44215e-05
64.4	2.42201e-05
64.6	2.39172e-05
64.8	2.37272e-05
65	2.32401e-05
65.2	2.30881e-05
65.4	2.26555e-05
65.6	2.26536e-05
65.8	2.22397e-05
66	2.18898e-05
66.2	2.17095e-05
66.4	2.16152e-05
66.6	2.12970e-05
66.8	2.09031e-05
67	2.07419e-05
67.2	2.06642e-05
67.4	2.03737e-05
67.6	2.00259e-05
67.8	1.97941e-05
68	1.97424e-05
68.2	1.94005e-05
68.4	1.92491e-05
68.6	1.89963e-05
68.8	1.87642e-05
69	1.87872e-05
69.2	1.84338e-05
69.4	1.80587e-05
69.6	1.81278e-05
69.8	1.79630e-05
70	1.77045e-05
70.2	1.73787e-05
70.4	1.72470e-05
70.6	1.73015e-05
70.8	1.70128e-05
71	1.67226e-05
71.2	1.64885e-05
71.4	1.65905e-05
71.6	1.62271e-05
71.8	1.60743e-05
72	1.59817e-05
72.2	1.58658e-05
72.4	1.56329e-05
72.6	1.54078e-05
72.8	1.53134e-05
73	1.52448e-05
73.2	1.50159e-05
73.4	1.48225e-05
73.6	1.47780e-05
73.8	1.44553e-05
74	1.44722e-05
74.2	1.43525e-05
74.4	1.40883e-05
74.6	1.40786e-05
74.8	1.38649e-05
75	1.36815e-05
75.2	1.37089e-05
75.4	1.34164e-05
75.6	1.32904e-05
75.8	1.32932e-05
76	1.31033e-05
76.2	1.29982e-05
76.4	1.27930e-05
76.6	1.26800e-05
76.8	1.26089e-05
77	1.26287e-05
77.2	1.23469e-05
77.4	1.21631e-05
77.6	1.21071e-05
77.8	1.20862e-05
78	1.19088e-05
78.2	1.18405e-05
78.4	1.16809e-05
78.6	1.15172e-05
78.8	1.14502e-05
79	1.14558e-05
79.2	1.12693e-05
79.4	1.11352e-05
79.6	1.10383e-05
79.8	1.09349e-05
80	1.09365e-05
80.2	1.07894e-05
80.4	1.06133e-05
80.6	1.05805e-05
80.8	1.03941e-05
81	1.04323e-05
81.2	1.03073e-05
81.4	1.01753e-05
81.6	1.01077e-05
81.8	9.96341e-06
82	9.95128e-06
82.2	9.84055e-06
82.4	9.73508e-06
82.6	9.70037e-06
82.8	9.56604e-06
83	9.44426e-06
83.2	9.36160e-06
83.4	9.35653e-06
83.6	9.27763e-06
83.8	9.15265e-06
84	9.06802e-06
84.2	8.98400e-06
84.4	8.90539e-06
84.6	8.85845e-06
84.8	8.74922e-06
85	8.66199e-06
85.2	8.59788e-06
85.4	8.53614e-06
85.6	8.44546e-06
85.8	8.41694e-06
86	8.36904e-06
86.2	8.20097e-06
86.4	8.15907e-06
86.6	8.06704e-06
86.8	8.06521e-06
87	8.01336e-06
87.2	7.85147e-06
87.4	7.78205e-06
87.6	7.72376e-06
87.8	7.75849e-06
88	7.67420e-06
88.2	7.57090e-06
88.4	7.48601e-06
88.6	7.48498e-06
88.8	7.31636e-06
89	7.32294e-06
89.2	7.24884e-06
89.4	7.19595e-06
89.6	7.09812e-06
89.8	7.09786e-06
90	7.03350e-06
90.2	6.99555e-06
90.4	6.87571e-06
90.6	6.83471e-06
90.8	6.77238e-06
91	6.71523e-06
91.2	6.64376e-06
91.4	6.64756e-06
91.6	6.59488e-06
91.8	6.56131e-06
92	6.42277e-06
92.2	6.38913e-06
92.4	6.38228e-06
92.6	6.28970e-06
92.8	6.22643e-06
93	6.18774e-06
93.2	6.19936e-06
93.4	6.10405e-06
93.6	6.01763e-06
93.8	6.05238e-06
94	5.99413e-06
94.2	5.87922e-06
94.4	5.83688e-06
94.6	5.81488e-06
94.8	5.82264e-06
95	5.75131e-06
95.2	5.67456e-06
95.4	5.64110e-06
95.6	5.62585e-06
95.8	5.49561e-06
