# BINNING-MINI: MIN=-0.1 BINWIDTH=0.2
# GP-LABEL-MINI: M_{ini} / M_{/CMSY10 \014}
# 1: MINI / Msun	2: probability
5	5.09580e-02
5.2	4.86953e-02
5.4	4.55699e-02
5.6	4.28253e-02
5.8	4.03553e-02
6	3.87949e-02
6.2	3.64836e-02
6.4	3.43037e-02
6.6	3.22527e-02
6.8	3.03203e-02
7	2.84688e-02
7.2	2.68663e-02
7.4	2.53555e-02
7.6	2.39318e-02
7.8	2.25932e-02
8	2.09165e-02
8.2	1.97519e-02
8.4	1.86588e-02
8.6	1.76305e-02
8.8	1.66631e-02
9	1.57530e-02
9.2	1.49298e-02
9.4	1.41529e-02
9.6	1.34199e-02
9.8	1.27313e-02
10	1.20798e-02
10.2	1.14730e-02
10.4	1.08979e-02
10.6	1.03562e-02
10.8	9.84446e-03
11	9.36211e-03
11.2	8.90555e-03
11.4	8.47407e-03
11.6	8.06717e-03
11.8	7.67994e-03
12	7.31554e-03
12.2	6.98059e-03
12.4	6.66107e-03
12.6	6.36015e-03
12.8	6.07412e-03
13	5.80278e-03
13.2	5.55310e-03
13.4	5.31644e-03
13.6	5.09052e-03
13.8	4.87642e-03
14	4.67301e-03
14.2	4.47959e-03
14.4	4.29524e-03
14.6	4.11835e-03
14.8	3.95117e-03
15	3.79139e-03
15.2	3.64340e-03
15.4	3.50151e-03
15.6	3.36646e-03
15.8	3.23795e-03
16	3.11456e-03
16.2	3.00716e-03
16.4	2.90350e-03
16.6	2.80482e-03
16.8	2.65048e-03
17	2.56117e-03
17.2	2.47489e-03
17.4	2.39187e-03
17.6	2.31285e-03
17.8	2.23599e-03
18	2.16294e-03
18.2	2.09259e-03
18.4	2.02479e-03
18.6	1.95925e-03
18.8	1.89606e-03
19	1.83634e-03
19.2	1.77813e-03
19.4	1.72301e-03
19.6	1.66951e-03
19.8	1.61847e-03
20	1.56685e-03
20.2	1.51945e-03
20.4	1.47351e-03
20.6	1.42932e-03
20.8	1.38695e-03
21	1.34576e-03
21.2	1.30650e-03
21.4	1.26842e-03
21.6	1.23170e-03
21.8	1.19600e-03
22	1.16184e-03
22.2	1.12838e-03
22.4	1.09662e-03
22.6	1.03948e-03
22.8	1.01053e-03
23	9.82382e-04
23.2	9.55045e-04
23.4	9.28620e-04
23.6	9.03132e-04
23.8	8.78654e-04
24	8.54736e-04
24.2	8.31766e-04
24.4	8.09523e-04
24.6	7.87915e-04
24.8	7.66960e-04
25	7.46818e-04
25.2	7.27576e-04
25.4	7.09120e-04
25.6	6.91186e-04
25.8	6.73791e-04
26	6.56789e-04
26.2	6.40507e-04
26.4	6.24480e-04
26.6	6.09086e-04
26.8	5.94155e-04
27	5.79589e-04
27.2	5.65426e-04
27.4	5.51710e-04
27.6	5.38554e-04
27.8	5.25805e-04
28	5.13224e-04
28.2	5.00996e-04
28.4	4.89206e-04
28.6	4.77810e-04
28.8	4.66580e-04
29	4.55677e-04
29.2	4.45213e-04
29.4	4.34923e-04
29.6	4.25200e-04
29.8	4.15416e-04
30	4.06085e-04
30.2	3.96951e-04
30.4	3.88540e-04
30.6	3.79948e-04
30.8	3.71898e-04
31	3.63825e-04
31.2	3.56141e-04
31.4	3.48505e-04
31.6	3.41266e-04
31.8	3.34127e-04
32	3.26971e-04
32.2	3.20254e-04
32.4	3.13655e-04
32.6	3.07004e-04
32.8	3.00784e-04
33	2.94701e-04
33.2	2.88562e-04
33.4	2.76298e-04
33.6	2.70820e-04
33.8	2.65379e-04
34	2.60008e-04
34.2	2.54858e-04
34.4	2.49844e-04
34.6	2.44997e-04
34.8	2.40270e-04
35	2.35614e-04
35.2	2.30964e-04
35.4	2.26424e-04
35.6	2.22029e-04
35.8	2.17756e-04
36	2.13529e-04
36.2	2.09431e-04
36.4	2.05389e-04
36.6	2.01529e-04
36.8	1.97725e-04
37	1.93951e-04
37.2	1.90331e-04
37.4	1.86801e-04
37.6	1.83347e-04
37.8	1.79952e-04
38	1.76609e-04
38.2	1.73362e-04
38.4	1.70210e-04
38.6	1.67147e-04
38.8	1.64114e-04
39	1.61144e-04
39.2	1.58293e-04
39.4	1.55510e-04
39.6	1.52824e-04
39.8	1.50167e-04
40	1.47553e-04
40.2	1.44975e-04
40.4	1.42570e-04
40.6	1.40077e-04
40.8	1.37629e-04
41	1.35364e-04
41.2	1.33056e-04
41.4	1.30765e-04
41.6	1.28651e-04
41.8	1.26452e-04
42	1.24323e-04
42.2	1.22281e-04
42.4	1.20222e-04
42.6	1.18259e-04
42.8	1.16360e-04
43	1.14390e-04
43.2	1.12579e-04
43.4	1.10742e-04
43.6	1.08916e-04
43.8	1.07165e-04
44	1.05431e-04
44.2	1.03804e-04
44.4	1.02079e-04
44.6	1.00526e-04
44.8	9.88986e-05
45	9.73020e-05
45.2	9.58417e-05
45.4	9.42940e-05
45.6	9.28992e-05
45.8	9.14125e-05
46	9.00797e-05
46.2	8.86255e-05
46.4	8.72413e-05
46.6	8.59662e-05
46.8	8.46225e-05
47	8.33856e-05
47.2	8.20896e-05
47.4	8.08846e-05
47.6	7.96561e-05
47.8	7.85134e-05
48	7.72794e-05
48.2	7.61884e-05
48.4	7.50338e-05
48.6	7.39582e-05
48.8	7.28453e-05
49	7.18370e-05
49.2	7.07362e-05
49.4	6.97514e-05
49.6	6.86962e-05
49.8	6.77490e-05
50	6.67244e-05
50.2	6.58571e-05
50.4	6.49107e-05
50.6	6.40679e-05
50.8	6.31620e-05
51	6.23384e-05
51.2	6.14988e-05
51.4	6.06664e-05
51.6	5.98872e-05
51.8	5.90744e-05
52	5.82879e-05
52.2	5.75002e-05
52.4	5.67826e-05
52.6	5.60003e-05
52.8	5.52712e-05
53	5.45951e-05
53.2	5.38297e-05
53.4	5.31646e-05
53.6	5.24566e-05
53.8	5.17768e-05
54	5.11438e-05
54.2	5.04630e-05
54.4	4.98187e-05
54.6	4.91820e-05
54.8	4.85578e-05
55	4.79586e-05
55.2	4.73368e-05
55.4	4.67524e-05
55.6	4.61546e-05
55.8	4.55818e-05
56	4.50233e-05
56.2	4.44522e-05
56.4	4.39069e-05
56.6	4.33565e-05
56.8	4.28332e-05
57	4.23059e-05
57.2	4.17770e-05
57.4	4.12734e-05
57.6	4.07775e-05
57.8	4.02654e-05
58	3.97878e-05
58.2	3.93218e-05
58.4	3.88185e-05
58.6	3.83697e-05
58.8	3.79070e-05
59	3.74505e-05
59.2	3.70134e-05
59.4	3.65708e-05
59.6	3.61384e-05
59.8	3.57105e-05
60	3.52840e-05
60.2	3.48776e-05
60.4	3.44835e-05
60.6	3.40914e-05
60.8	3.36940e-05
61	3.33153e-05
61.2	3.29346e-05
61.4	3.25681e-05
61.6	3.21896e-05
61.8	3.18288e-05
62	3.14780e-05
62.2	3.11352e-05
62.4	3.07745e-05
62.6	3.04277e-05
62.8	3.00917e-05
63	2.97750e-05
63.2	2.94294e-05
63.4	2.91115e-05
63.6	2.87794e-05
63.8	2.84777e-05
64	2.81567e-05
64.2	2.78596e-05
64.4	2.75570e-05
64.6	2.72604e-05
64.8	2.69471e-05
65	2.66646e-05
65.2	2.63826e-05
65.4	2.61073e-05
65.6	2.58178e-05
65.8	2.50037e-05
66	2.47359e-05
66.2	2.44776e-05
66.4	2.42294e-05
66.6	2.39628e-05
66.8	2.37096e-05
67	2.34625e-05
67.2	2.32224e-05
67.4	2.29763e-05
67.6	2.27304e-05
67.8	2.24967e-05
68	2.22740e-05
68.2	2.20417e-05
68.4	2.18036e-05
68.6	2.15763e-05
68.8	2.13630e-05
69	2.11538e-05
69.2	2.09229e-05
69.4	2.07090e-05
69.6	2.05021e-05
69.8	2.02985e-05
70	1.99265e-05
70.2	1.97356e-05
70.4	1.95401e-05
70.6	1.93349e-05
70.8	1.91413e-05
71	1.89586e-05
71.2	1.87694e-05
71.4	1.85773e-05
71.6	1.83918e-05
71.8	1.82150e-05
72	1.80330e-05
72.2	1.78448e-05
72.4	1.76780e-05
72.6	1.75092e-05
72.8	1.73311e-05
73	1.71627e-05
73.2	1.70001e-05
73.4	1.68425e-05
73.6	1.66604e-05
73.8	1.65098e-05
74	1.63546e-05
74.2	1.62032e-05
74.4	1.60365e-05
74.6	1.58830e-05
74.8	1.57373e-05
75	1.55873e-05
75.2	1.54293e-05
75.4	1.52936e-05
