# BINNING-TEFF: MIN=0 BINWIDTH=379.6077106952
# GP-LABEL-TEFF: T_{eff} / K
# 1: TEFF / K	2: probability
3985.8809622996	1.48072e-06
4365.4886729948	4.35600e-06
4745.09638369	4.88554e-06
5124.7040943852	4.83804e-06
5504.3118050804	4.74620e-06
5883.9195157756	4.52392e-06
6263.5272264708	4.42875e-06
6643.134937166	4.35690e-06
7022.7426478612	4.53805e-06
7402.3503585564	4.45277e-06
7781.9580692516	4.38640e-06
8161.5657799468	4.46830e-06
8541.173490642	4.30844e-06
8920.7812013372	4.48638e-06
9300.3889120324	4.59530e-06
9679.9966227276	4.80269e-06
10059.6043334228	5.40523e-06
10439.212044118	5.54121e-06
10818.8197548132	6.14204e-06
11198.4274655084	6.67969e-06
11578.0351762036	7.00417e-06
11957.6428868988	7.80698e-06
12337.250597594	6.48534e-04
12716.8583082892	1.69989e-03
13096.4660189844	2.74752e-03
13476.0737296796	4.04049e-03
13855.6814403748	5.93420e-03
14235.28915107	7.80803e-03
14614.8968617652	9.75927e-03
14994.5045724604	1.18109e-02
15374.1122831556	1.40372e-02
15753.7199938508	1.65150e-02
16133.327704546	1.93876e-02
16512.9354152412	2.35194e-02
16892.5431259364	2.77173e-02
17272.1508366316	3.05229e-02
17651.7585473268	3.32159e-02
18031.366258022	3.60601e-02
18410.9739687172	3.87064e-02
18790.5816794124	3.87700e-02
19170.1893901076	3.71354e-02
19549.7971008028	3.54198e-02
19929.404811498	3.38715e-02
20309.0125221932	3.23787e-02
20688.6202328884	3.08619e-02
21068.2279435836	2.93948e-02
21447.8356542788	2.77546e-02
21827.443364974	2.63162e-02
22207.0510756692	2.51263e-02
22586.6587863644	2.39144e-02
22966.2664970596	2.26702e-02
23345.8742077548	2.14659e-02
23725.48191845	2.03817e-02
24105.0896291452	1.91066e-02
24484.6973398404	1.78608e-02
24864.3050505356	1.67294e-02
25243.9127612308	1.57540e-02
25623.520471926	1.47502e-02
26003.1281826212	1.39081e-02
26382.7358933164	1.30045e-02
26762.3436040116	1.23352e-02
27141.9513147068	1.15692e-02
27521.559025402	1.07905e-02
27901.1667360972	1.00071e-02
28280.7744467924	9.36833e-03
28660.3821574876	8.82341e-03
29039.9898681828	8.27179e-03
29419.597578878	7.75780e-03
29799.2052895732	7.25894e-03
30178.8130002684	6.76072e-03
30558.4207109636	6.31214e-03
30938.0284216588	5.92048e-03
31317.636132354	5.53343e-03
31697.2438430492	5.21712e-03
32076.8515537444	4.91656e-03
32456.4592644396	4.62826e-03
32836.0669751348	4.35497e-03
33215.67468583	4.10623e-03
33595.2823965252	3.86885e-03
33974.8901072204	3.66597e-03
34354.4978179156	3.46215e-03
34734.1055286108	3.29251e-03
35113.713239306	3.13514e-03
35493.3209500012	2.97498e-03
35872.9286606964	2.78426e-03
36252.5363713916	2.60087e-03
36632.1440820868	2.41537e-03
37011.751792782	2.26149e-03
37391.3595034772	2.12428e-03
37770.9672141724	1.98951e-03
38150.5749248676	1.87477e-03
38530.1826355628	1.77664e-03
38909.790346258	1.66625e-03
39289.3980569532	1.55705e-03
39669.0057676484	1.45072e-03
40048.6134783436	1.35751e-03
40428.2211890388	1.27120e-03
40807.828899734	1.19507e-03
41187.4366104292	1.12587e-03
41567.0443211244	1.05893e-03
41946.6520318196	9.91929e-04
42326.2597425148	9.40360e-04
42705.86745321	8.80250e-04
43085.4751639052	8.34890e-04
43465.0828746004	7.90086e-04
43844.6905852956	7.46457e-04
44224.2982959908	7.11917e-04
44603.906006686	6.83303e-04
44983.5137173812	6.45670e-04
45363.1214280764	6.15059e-04
45742.7291387716	5.83243e-04
46122.3368494668	5.46460e-04
46501.944560162	5.16207e-04
46881.5522708572	4.89811e-04
47261.1599815524	4.60177e-04
47640.7676922476	4.37893e-04
48020.3754029428	4.10134e-04
48399.983113638	3.80660e-04
48779.5908243332	3.64636e-04
49159.1985350284	3.44581e-04
49538.8062457236	3.28237e-04
49918.4139564188	3.12384e-04
50298.021667114	2.98649e-04
50677.6293778092	2.81477e-04
51057.2370885044	2.67400e-04
51436.8447991996	2.54881e-04
51816.4525098948	2.36870e-04
52196.06022059	2.24819e-04
52575.6679312852	2.13631e-04
52955.2756419804	2.10496e-04
53334.8833526756	2.07034e-04
53714.4910633708	2.00422e-04
54094.098774066	2.00568e-04
54473.7064847612	1.88472e-04
54853.3141954564	1.53341e-04
55232.9219061516	1.33507e-04
55612.5296168468	1.04954e-04
55992.137327542	6.96113e-05
56371.7450382372	3.79731e-05
56751.3527489324	2.41552e-05
57130.9604596276	7.86570e-06
57510.5681703228	1.25954e-06
57890.175881018	9.49317e-07
58269.7835917132	1.05734e-06
58649.3913024084	9.21836e-07
59028.9990131036	1.17215e-06
59408.6067237988	1.07652e-06
59788.214434494	8.83878e-07
60167.8221451892	9.73492e-07
60547.4298558844	9.40102e-07
60927.0375665796	7.36471e-07
61306.6452772748	6.92641e-07
61686.25298797	6.22212e-07
62065.8606986652	5.92617e-07
62445.4684093604	4.45198e-07
62825.0761200556	4.77720e-07
63204.6838307508	3.46831e-07
63584.291541446	1.89584e-07
63963.8992521412	5.52546e-08
64343.5069628364	4.60271e-08
64723.1146735316	3.97454e-08
65102.7223842268	5.20521e-09
65482.330094922	2.08719e-08
