# BINNING-VROT: MIN=-5 BINWIDTH=10
# GP-LABEL-VROT: v_{rot} / km s^{-1}
# 1: VROT / km/s	2: probability
0	1.05718e-02
10	1.72792e-02
20	1.81416e-02
30	1.83011e-02
40	1.80520e-02
50	1.80874e-02
60	1.82014e-02
70	1.80460e-02
80	1.79981e-02
90	1.81746e-02
100	1.81034e-02
110	1.79745e-02
120	1.79327e-02
130	1.80230e-02
140	1.79772e-02
150	1.78780e-02
160	1.78090e-02
170	1.77578e-02
180	1.77262e-02
190	1.76893e-02
200	1.75967e-02
210	1.75209e-02
220	1.74378e-02
230	1.72017e-02
240	1.71654e-02
250	1.71734e-02
260	1.71973e-02
270	1.71893e-02
280	1.70341e-02
290	1.67941e-02
300	1.68538e-02
310	1.74652e-02
320	1.80824e-02
330	2.00240e-02
340	2.16455e-02
350	2.18000e-02
360	2.04436e-02
370	1.94734e-02
380	1.92063e-02
390	1.86875e-02
400	1.90917e-02
410	1.93142e-02
420	1.92849e-02
430	1.90312e-02
440	1.85065e-02
450	1.83674e-02
460	1.81312e-02
470	1.77720e-02
480	1.73726e-02
490	1.69463e-02
500	1.63192e-02
510	1.56760e-02
520	1.50347e-02
530	1.39315e-02
540	1.24482e-02
550	1.09806e-02
560	8.66224e-03
570	4.51138e-03
580	8.95492e-04
590	5.79298e-06
600	1.37876e-09
610	1.12887e-09
620	1.31359e-09
630	1.06026e-09
640	1.01152e-09
650	9.93273e-10
660	8.30255e-10
670	9.56156e-10
680	9.02753e-10
690	6.31669e-10
700	7.06666e-10
710	7.43932e-10
720	6.36502e-10
730	6.92161e-10
740	5.15701e-10
750	5.09442e-10
760	6.09315e-10
770	4.58611e-10
780	5.04518e-10
790	4.78833e-10
800	4.30214e-10
810	4.00646e-10
820	4.12515e-10
830	4.60243e-10
840	3.05883e-10
850	3.52572e-10
860	2.86205e-10
870	3.83521e-10
880	2.92447e-10
890	3.46948e-10
900	2.18678e-10
910	2.84535e-10
920	2.42609e-10
930	2.07809e-10
940	1.84989e-10
950	2.80926e-10
960	1.53352e-10
970	2.15302e-10
980	1.85813e-10
990	2.03458e-10
1000	1.50799e-10
1010	1.21571e-10
1020	1.48822e-10
1030	1.40486e-10
1040	1.09956e-10
1050	1.30682e-10
1060	1.23933e-10
1070	1.31251e-10
1090	1.00585e-10
