# BINNING-VROTINI: MIN=-5 BINWIDTH=10
# GP-LABEL-VROTINI: v_{ini} / km s^{-1}
# 1: VROTINI / km/s	2: probability
0	1.03233e-02
10	1.71890e-02
20	1.71725e-02
30	1.71563e-02
40	1.71405e-02
50	1.71232e-02
60	1.71083e-02
70	1.71049e-02
80	1.71016e-02
90	1.70998e-02
100	1.70988e-02
110	1.70983e-02
120	1.70983e-02
130	1.70956e-02
140	1.70957e-02
150	1.70958e-02
160	1.70972e-02
170	1.71010e-02
180	1.71021e-02
190	1.71031e-02
200	1.71069e-02
210	1.71118e-02
220	1.71195e-02
230	1.71304e-02
240	1.71416e-02
250	1.71549e-02
260	1.71726e-02
270	1.71931e-02
280	1.72172e-02
290	1.72481e-02
300	1.72786e-02
310	1.73163e-02
320	1.73594e-02
330	1.74082e-02
340	1.74655e-02
350	1.75288e-02
360	1.75999e-02
370	1.76783e-02
380	1.77668e-02
390	1.78645e-02
400	1.79720e-02
410	1.80875e-02
420	1.82033e-02
430	1.83280e-02
440	1.84676e-02
450	1.86133e-02
460	1.87769e-02
470	1.89588e-02
480	1.91563e-02
490	1.93598e-02
500	1.95717e-02
510	1.97758e-02
520	1.99604e-02
530	1.99637e-02
540	1.96228e-02
550	1.83373e-02
560	1.15291e-02
570	2.94812e-03
