# GP-LABEL-LOGL: log( L / L_{/CMSY10 \014})
# 1: RADIUS/SIGMA	2: RHO_ALL	3: RHO_LOGL	4: CUMULATIVE_ALL	5: CUMULATIVE_LOGL
0.05	2234380	4.46876e+06	446876	446876
0.15	2246315	4.49263e+06	896139	896139
0.25	2295685	4.59137e+06	1355276	1355276
0.35	2350060	4.70012e+06	1825288	1825288
0.45	2434690	4.86938e+06	2312226	2312226
0.55	2552350	5.10470e+06	2822696	2822696
0.65	2693505	5.38701e+06	3361397	3361397
0.75	2857725	5.71545e+06	3932942	3932942
0.85	3012865	6.02573e+06	4535515	4535515
0.95	3222015	6.44403e+06	5179918	5179918
1.05	3496920	6.99384e+06	5879302	5879302
1.15	3816850	7.63370e+06	6642672	6642672
1.25	4254705	8.50941e+06	7493613	7493613
1.35	4832935	9.66587e+06	8460200	8460200
1.45	5551765	1.11035e+07	9570553	9570553
1.55	6981935	1.39639e+07	10966940	10966940
1.65	7847445	1.56949e+07	12536429	12536429
1.75	8192705	1.63854e+07	14174970	14174970
1.85	8656790	1.73136e+07	15906328	15906328
1.95	8702190	1.74044e+07	17646766	17646766
2.05	8452800	1.69056e+07	19337326	19337326
2.15	2081390	4.16278e+06	19753604	19753604
2.25	196055	3.92110e+05	19792815	19792815
2.35	0	0.00000e+00	19792815	19792815
2.45	0	0.00000e+00	19792815	19792815
2.55	0	0.00000e+00	19792815	19792815
2.65	0	0.00000e+00	19792815	19792815
2.75	0	0.00000e+00	19792815	19792815
2.85	0	0.00000e+00	19792815	19792815
2.95	0	0.00000e+00	19792815	19792815
3.05	0	0.00000e+00	19792815	19792815
3.15	0	0.00000e+00	19792815	19792815
3.25	0	0.00000e+00	19792815	19792815
3.35	0	0.00000e+00	19792815	19792815
3.45	0	0.00000e+00	19792815	19792815
3.55	0	0.00000e+00	19792815	19792815
3.65	0	0.00000e+00	19792815	19792815
3.75	0	0.00000e+00	19792815	19792815
3.85	0	0.00000e+00	19792815	19792815
3.95	0	0.00000e+00	19792815	19792815
4.05	0	0.00000e+00	19792815	19792815
4.15	0	0.00000e+00	19792815	19792815
4.25	0	0.00000e+00	19792815	19792815
4.35	0	0.00000e+00	19792815	19792815
4.45	0	0.00000e+00	19792815	19792815
4.55	0	0.00000e+00	19792815	19792815
4.65	0	0.00000e+00	19792815	19792815
4.75	0	0.00000e+00	19792815	19792815
4.85	0	0.00000e+00	19792815	19792815
4.95	0	0.00000e+00	19792815	19792815
5.05	0	0.00000e+00	19792815	19792815
