# BINNING-LOGL: MIN=-10.0004438376 BINWIDTH=0.0236417112
# GP-LABEL-LOGL: log( L / L_{/CMSY10 \014})
# P(d<0): 86
# P(d>0): 14
# MEAN: -1.26
# SD: 1.18
# 1: dLOGL / log(Lsun)	2: probability
-7.2225427716	1.08761e-10
-7.1989010604	2.41679e-10
-7.1752593492	4.19716e-10
-7.151617638	6.66102e-10
-7.1279759268	9.80851e-10
-7.1043342156	1.36624e-09
-7.0806925044	1.84533e-09
-7.0570507932	2.40575e-09
-7.033409082	3.08327e-09
-7.0097673708	3.86255e-09
-6.9861256596	4.78249e-09
-6.9624839484	5.83589e-09
-6.9388422372	7.05636e-09
-6.915200526	8.44420e-09
-6.8915588148	1.00357e-08
-6.8679171036	1.18340e-08
-6.8442753924	1.38848e-08
-6.8206336812	1.61878e-08
-6.79699197	1.87878e-08
-6.7733502588	2.16495e-08
-6.7497085476	2.48567e-08
-6.7260668364	2.84285e-08
-6.7024251252	3.23833e-08
-6.678783414	3.68116e-08
-6.6551417028	4.17088e-08
-6.6314999916	4.71678e-08
-6.6078582804	5.32337e-08
-6.5842165692	5.99578e-08
-6.560574858	6.74405e-08
-6.5369331468	7.57308e-08
-6.5132914356	8.49310e-08
-6.4896497244	9.51276e-08
-6.4660080132	1.06426e-07
-6.442366302	1.18930e-07
-6.4187245908	1.32766e-07
-6.3950828796	1.48073e-07
-6.3714411684	1.64992e-07
-6.3477994572	1.83688e-07
-6.324157746	2.04332e-07
-6.3005160348	2.27120e-07
-6.2768743236	2.52259e-07
-6.2532326124	2.79976e-07
-6.2295909012	3.10523e-07
-6.20594919	3.44165e-07
-6.1823074788	3.81202e-07
-6.1586657676	4.21950e-07
-6.1350240564	4.66757e-07
-6.1113823452	5.16006e-07
-6.087740634	5.70100e-07
-6.0640989228	6.29490e-07
-6.0404572116	6.94655e-07
-6.0168155004	7.66119e-07
-5.9931737892	8.44446e-07
-5.969532078	9.30250e-07
-5.9458903668	1.02419e-06
-5.9222486556	1.12699e-06
-5.8986069444	1.23941e-06
-5.8749652332	1.36230e-06
-5.851323522	1.49654e-06
-5.8276818108	1.64310e-06
-5.8040400996	1.80304e-06
-5.7803983884	1.97747e-06
-5.7567566772	2.16760e-06
-5.733114966	2.37472e-06
-5.7094732548	2.60024e-06
-5.6858315436	2.84564e-06
-5.6621898324	3.11253e-06
-5.6385481212	3.40263e-06
-5.61490641	3.71779e-06
-5.5912646988	4.05997e-06
-5.5676229876	4.43129e-06
-5.5439812764	4.83400e-06
-5.5203395652	5.27051e-06
-5.496697854	5.74338e-06
-5.4730561428	6.25538e-06
-5.4494144316	6.80941e-06
-5.4257727204	7.40859e-06
-5.4021310092	8.05625e-06
-5.378489298	8.75590e-06
-5.3548475868	9.51130e-06
-5.3312058756	1.03264e-05
-5.3075641644	1.12055e-05
-5.2839224532	1.21530e-05
-5.260280742	1.31738e-05
-5.2366390308	1.42727e-05
-5.2129973196	1.54552e-05
-5.1893556084	1.67270e-05
-5.1657138972	1.80938e-05
-5.142072186	1.95621e-05
-5.1184304748	2.11385e-05
-5.0947887636	2.28300e-05
-5.0711470524	2.46439e-05
-5.0475053412	2.65881e-05
-5.02386363	2.86706e-05
-5.0002219188	3.09001e-05
-4.9765802076	3.32856e-05
-4.9529384964	3.58366e-05
-4.9292967852	3.85630e-05
-4.905655074	4.14751e-05
-4.8820133628	4.45840e-05
-4.8583716516	4.79009e-05
-4.8347299404	5.14379e-05
-4.8110882292	5.52073e-05
-4.787446518	5.92222e-05
-4.7638048068	6.34960e-05
-4.7401630956	6.80430e-05
-4.7165213844	7.28777e-05
-4.6928796732	7.80156e-05
-4.669237962	8.34724e-05
-4.6455962508	8.92646e-05
-4.6219545396	9.54093e-05
-4.5983128284	1.01924e-04
-4.5746711172	1.08828e-04
-4.551029406	1.16139e-04
-4.5273876948	1.23878e-04
-4.5037459836	1.32064e-04
-4.4801042724	1.40718e-04
-4.4564625612	1.49862e-04
-4.43282085	1.59518e-04
-4.4091791388	1.69709e-04
-4.3855374276	1.80459e-04
-4.3618957164	1.91790e-04
-4.3382540052	2.03729e-04
-4.314612294	2.16299e-04
-4.2909705828	2.29528e-04
-4.2673288716	2.43440e-04
-4.2436871604	2.58064e-04
-4.2200454492	2.73426e-04
-4.196403738	2.89555e-04
-4.1727620268	3.06478e-04
-4.1491203156	3.24225e-04
-4.1254786044	3.42825e-04
-4.1018368932	3.62307e-04
-4.078195182	3.82701e-04
-4.0545534708	4.04037e-04
-4.0309117596	4.26345e-04
-4.0072700484	4.49657e-04
-3.9836283372	4.74003e-04
-3.959986626	4.99413e-04
-3.9363449148	5.25919e-04
-3.9127032036	5.53551e-04
-3.8890614924	5.82340e-04
-3.8654197812	6.12317e-04
-3.84177807	6.43511e-04
-3.8181363588	6.75954e-04
-3.7944946476	7.09674e-04
-3.7708529364	7.44700e-04
-3.7472112252	7.81062e-04
-3.723569514	8.18787e-04
-3.6999278028	8.57904e-04
-3.6762860916	8.98438e-04
-3.6526443804	9.40415e-04
-3.6290026692	9.83860e-04
-3.605360958	1.02880e-03
-3.5817192468	1.07525e-03
-3.5580775356	1.12324e-03
-3.5344358244	1.17278e-03
-3.5107941132	1.22390e-03
-3.487152402	1.27661e-03
-3.4635106908	1.33093e-03
-3.4398689796	1.38687e-03
-3.4162272684	1.44444e-03
-3.3925855572	1.50366e-03
-3.368943846	1.56453e-03
-3.3453021348	1.62706e-03
-3.3216604236	1.69126e-03
-3.2980187124	1.75712e-03
-3.2743770012	1.82464e-03
-3.25073529	1.89382e-03
-3.2270935788	1.96466e-03
-3.2034518676	2.03715e-03
-3.1798101564	2.11128e-03
-3.1561684452	2.18703e-03
-3.132526734	2.26440e-03
-3.1088850228	2.34335e-03
-3.0852433116	2.42387e-03
-3.0616016004	2.50594e-03
-3.0379598892	2.58952e-03
-3.014318178	2.67460e-03
-2.9906764668	2.76112e-03
-2.9670347556	2.84906e-03
-2.9433930444	2.93838e-03
-2.9197513332	3.02904e-03
-2.896109622	3.12098e-03
-2.8724679108	3.21417e-03
-2.8488261996	3.30854e-03
-2.8251844884	3.40405e-03
-2.8015427772	3.50063e-03
-2.777901066	3.59823e-03
-2.7542593548	3.69678e-03
-2.7306176436	3.79622e-03
-2.7069759324	3.89647e-03
-2.6833342212	3.99746e-03
-2.65969251	4.09913e-03
-2.6360507988	4.20138e-03
-2.6124090876	4.30414e-03
-2.5887673764	4.40733e-03
-2.5651256652	4.51087e-03
-2.541483954	4.61466e-03
-2.5178422428	4.71861e-03
-2.4942005316	4.82265e-03
-2.4705588204	4.92666e-03
-2.4469171092	5.03056e-03
-2.423275398	5.13426e-03
-2.3996336868	5.23765e-03
-2.3759919756	5.34063e-03
-2.3523502644	5.44311e-03
-2.3287085532	5.54499e-03
-2.305066842	5.64616e-03
-2.2814251308	5.74652e-03
-2.2577834196	5.84597e-03
-2.2341417084	5.94440e-03
-2.2104999972	6.04172e-03
-2.186858286	6.13782e-03
-2.1632165748	6.23260e-03
-2.1395748636	6.32596e-03
-2.1159331524	6.41779e-03
-2.0922914412	6.50801e-03
-2.06864973	6.59650e-03
-2.0450080188	6.68317e-03
-2.0213663076	6.76793e-03
-1.9977245964	6.85068e-03
-1.9740828852	6.93133e-03
-1.950441174	7.00979e-03
-1.9267994628	7.08598e-03
-1.9031577516	7.15980e-03
